target_end_date,location,horizon,model,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median
2026-01-03,27,3.0,JOSEPH,663.7847826086957,0.0,625.3478260869565,38.43695652173913,-1.0,False,False,837.0
2026-01-03,36,3.0,JOSEPH,1145.2130434782612,0.0,925.9565217391304,219.25652173913042,-0.95,False,False,1909.0
2026-01-03,37,3.0,JOSEPH,1424.881304347826,0.0,1356.608695652174,68.27260869565217,-1.0,False,False,1794.0
2026-01-03,27,2.0,JOSEPH,403.1930434782609,0.0,360.2173913043478,42.97565217391305,-0.98,False,False,605.0
2026-01-10,27,3.0,JOSEPH,129.73,0.0,82.08695652173913,47.64304347826088,-0.7,False,True,262.0
2026-01-03,36,2.0,JOSEPH,1001.4569565217392,0.0,814.3913043478261,187.06565217391307,-0.95,False,False,1693.0
2026-01-10,36,3.0,JOSEPH,274.99478260869563,0.0,81.91304347826087,193.08173913043476,-0.3999999999999999,True,True,454.0
2026-01-03,37,2.0,JOSEPH,988.674347826087,0.0,892.8260869565217,95.84826086956522,-1.0,False,False,1435.0
2026-01-10,37,3.0,JOSEPH,232.37956521739133,0.0,135.52173913043478,96.8578260869565,-0.6000000000000001,False,True,501.0
2026-01-03,27,1.0,JOSEPH,143.9134782608696,0.0,91.30434782608695,52.60913043478262,-0.7,False,True,266.0
2026-01-10,27,2.0,JOSEPH,63.36695652173912,9.347826086956522,0.0,54.0191304347826,0.30000000000000004,True,True,71.0
2026-01-17,27,3.0,JOSEPH,172.5082608695652,108.56521739130434,0.0,63.94304347826087,0.9,False,True,319.0
2026-01-03,36,1.0,JOSEPH,454.94913043478266,0.0,274.4782608695652,180.47086956521736,-0.8,False,True,843.0
2026-01-10,36,2.0,JOSEPH,280.5678260869565,72.43478260869566,0.0,208.13304347826084,0.30000000000000004,True,True,518.0
2026-01-17,36,3.0,JOSEPH,699.065652173913,477.7826086956522,0.0,221.28304347826085,0.9,False,True,1271.0
2026-01-03,37,1.0,JOSEPH,552.5360869565218,0.0,446.04347826086956,106.4926086956522,-0.8999999999999999,False,True,959.0
2026-01-10,37,2.0,JOSEPH,114.24565217391307,0.0,0.08695652173913043,114.15869565217393,-0.10000000000000009,True,True,2.0
2026-01-17,37,3.0,JOSEPH,400.2791304347826,283.2173913043478,0.0,117.06173913043479,0.9,False,True,742.0
2026-01-03,27,0.0,JOSEPH,53.61260869565218,0.0,6.695652173913044,46.916956521739124,-0.30000000000000004,True,True,52.0
2026-01-10,27,1.0,JOSEPH,136.9195652173913,65.8695652173913,0.0,71.05,0.6,False,True,241.0
2026-01-17,27,2.0,JOSEPH,310.25,231.34782608695653,0.0,78.90217391304348,0.95,False,False,495.0
2026-01-24,27,3.0,JOSEPH,300.80999999999995,217.3913043478261,0.0,83.41869565217392,0.95,False,False,462.0
2026-01-03,36,0.0,JOSEPH,197.1621739130435,0.0,43.73913043478261,153.42304347826087,-0.3999999999999999,True,True,296.0
2026-01-10,36,1.0,JOSEPH,403.22695652173917,202.65217391304347,0.0,200.57478260869567,0.7,False,True,749.0
2026-01-17,36,2.0,JOSEPH,1021.5326086956521,811.3478260869565,0.0,210.1847826086956,0.95,False,False,1753.0
2026-01-24,36,3.0,JOSEPH,1288.2134782608698,1062.6521739130435,0.0,225.56130434782605,0.98,False,False,1987.0
2026-01-03,37,0.0,JOSEPH,128.33347826086955,2.869565217391304,0.0,125.46391304347826,0.09999999999999998,True,True,66.0
2026-01-10,37,1.0,JOSEPH,622.3295652173914,441.04347826086956,0.0,181.28608695652179,0.9,False,True,980.0
2026-01-17,37,2.0,JOSEPH,1108.9808695652175,921.695652173913,0.0,187.28521739130437,1.0,False,False,1607.0
2026-01-24,37,3.0,JOSEPH,963.9604347826087,749.3913043478261,0.0,214.5691304347826,1.0,False,False,1408.0
2026-01-10,27,0.0,JOSEPH,213.6991304347826,166.04347826086956,0.0,47.65565217391305,0.95,False,False,369.0
2026-01-17,27,1.0,JOSEPH,380.45043478260874,315.17391304347825,0.0,65.27652173913043,1.0,False,False,575.0
2026-01-24,27,2.0,JOSEPH,331.41782608695655,262.1304347826087,0.0,69.28739130434784,0.98,False,False,471.0
2026-01-31,27,3.0,JOSEPH,330.4669565217391,257.6521739130435,0.0,72.81478260869565,1.0,False,False,508.0
2026-01-10,36,0.0,JOSEPH,470.9965217391305,335.9130434782609,0.0,135.08347826086955,0.8,False,True,840.0
2026-01-17,36,1.0,JOSEPH,1041.4630434782607,893.8260869565217,0.0,147.63695652173914,1.0,False,False,1554.0
2026-01-24,36,2.0,JOSEPH,1262.9121739130433,1045.391304347826,0.0,217.52086956521742,0.98,False,False,2042.0
2026-01-31,36,3.0,JOSEPH,1310.6808695652173,1060.9130434782608,0.0,249.76782608695652,1.0,False,False,2029.0
2026-01-10,37,0.0,JOSEPH,358.2739130434782,250.04347826086956,0.0,108.2304347826087,0.9,False,True,645.0
2026-01-17,37,1.0,JOSEPH,824.1178260869565,688.9565217391304,0.0,135.1613043478261,0.98,False,False,1270.0
2026-01-24,37,2.0,JOSEPH,659.1243478260869,501.5652173913044,0.0,157.55913043478262,0.98,False,False,950.0
2026-01-31,37,3.0,JOSEPH,593.1330434782608,392.5652173913044,0.0,200.56782608695653,0.95,False,False,909.0
2026-01-17,27,0.0,JOSEPH,82.20391304347827,42.73913043478261,0.0,39.46478260869566,0.7,False,True,147.0
2026-01-24,27,1.0,JOSEPH,77.44565217391303,28.73913043478261,0.0,48.70652173913044,0.6,False,True,141.0
2026-01-31,27,2.0,JOSEPH,103.12478260869565,57.65217391304348,0.0,45.47260869565218,0.7,False,True,178.0
2026-02-07,27,3.0,JOSEPH,78.8104347826087,30.695652173913043,0.0,48.114782608695656,0.6,False,True,134.0
2026-01-17,36,0.0,JOSEPH,230.50173913043477,133.6086956521739,0.0,96.89304347826086,0.7,False,True,423.0
2026-01-24,36,1.0,JOSEPH,429.14434782608686,310.0,0.0,119.14434782608696,0.9,False,True,730.0
2026-01-31,36,2.0,JOSEPH,504.6456521739132,346.9130434782609,0.0,157.73260869565215,0.9,False,True,939.0
2026-02-07,36,3.0,JOSEPH,538.3134782608696,379.82608695652175,0.0,158.4873913043478,0.9,False,True,954.0
2026-01-17,37,0.0,JOSEPH,267.07,195.2173913043478,0.0,71.85260869565218,0.9,False,True,454.0
2026-01-24,37,1.0,JOSEPH,268.38391304347823,186.17391304347825,0.0,82.21000000000001,0.9,False,True,468.0
2026-01-31,37,2.0,JOSEPH,260.634347826087,154.95652173913044,0.0,105.67782608695653,0.8,False,True,482.0
2026-02-07,37,3.0,JOSEPH,251.2817391304348,141.56521739130434,0.0,109.71652173913044,0.8,False,True,450.0
2026-01-24,27,0.0,JOSEPH,25.895652173913046,0.0,2.608695652173913,23.286956521739125,-0.19999999999999996,True,True,30.0
2026-01-31,27,1.0,JOSEPH,28.928260869565214,1.4782608695652173,0.0,27.45,0.19999999999999996,True,True,26.0
2026-02-07,27,2.0,JOSEPH,30.566521739130433,0.2608695652173913,0.0,30.305652173913042,0.09999999999999998,True,True,6.0
2026-02-14,27,3.0,JOSEPH,39.07695652173913,0.0,5.217391304347826,33.8595652173913,-0.30000000000000004,True,True,48.0
2026-01-24,36,0.0,JOSEPH,49.93826086956521,0.043478260869565216,0.0,49.89478260869565,0.09999999999999998,True,True,1.0
2026-01-31,36,1.0,JOSEPH,82.66217391304347,26.043478260869566,0.0,56.618695652173905,0.6,False,True,111.0
2026-02-07,36,2.0,JOSEPH,110.98521739130435,36.43478260869565,0.0,74.5504347826087,0.5,True,True,162.0
2026-02-14,36,3.0,JOSEPH,99.58782608695653,17.73913043478261,0.0,81.84869565217392,0.30000000000000004,True,True,128.0
2026-01-24,37,0.0,JOSEPH,50.30304347826086,0.0,12.173913043478262,38.12913043478262,-0.3999999999999999,True,True,62.0
2026-01-31,37,1.0,JOSEPH,56.67695652173913,0.0,4.956521739130435,51.72043478260869,-0.19999999999999996,True,True,64.0
2026-02-07,37,2.0,JOSEPH,51.95478260869565,0.0,3.0869565217391304,48.867826086956526,-0.30000000000000004,True,True,39.0
2026-02-14,37,3.0,JOSEPH,52.70130434782609,0.17391304347826086,0.0,52.52739130434783,0.09999999999999998,True,True,4.0
2026-01-31,27,0.0,JOSEPH,30.605217391304347,12.956521739130435,0.0,17.648695652173917,0.6,False,True,54.0
2026-02-07,27,1.0,JOSEPH,24.88434782608696,2.0,0.0,22.88434782608696,0.19999999999999996,True,True,26.0
2026-02-14,27,2.0,JOSEPH,28.41217391304348,0.0,3.130434782608696,25.281739130434783,-0.19999999999999996,True,True,34.0
2026-02-21,27,3.0,JOSEPH,37.34521739130435,0.0,12.26086956521739,25.084347826086958,-0.3999999999999999,True,True,66.0
2026-01-31,36,0.0,JOSEPH,35.82478260869566,2.130434782608696,0.0,33.69434782608696,0.19999999999999996,True,True,29.0
2026-02-07,36,1.0,JOSEPH,40.643913043478264,0.7391304347826086,0.0,39.904782608695655,0.09999999999999998,True,True,17.0
2026-02-14,36,2.0,JOSEPH,51.23782608695651,0.0,1.3478260869565217,49.88999999999999,-0.19999999999999996,True,True,29.0
2026-02-21,36,3.0,JOSEPH,74.1317391304348,0.0,20.347826086956523,53.78391304347825,-0.3999999999999999,True,True,128.0
2026-01-31,37,0.0,JOSEPH,42.56130434782608,0.0,9.26086956521739,33.30043478260869,-0.30000000000000004,True,True,73.0
2026-02-07,37,1.0,JOSEPH,53.044347826086955,0.0,7.695652173913044,45.34869565217391,-0.30000000000000004,True,True,73.0
2026-02-14,37,2.0,JOSEPH,48.39391304347826,0.0,0.17391304347826086,48.22,-0.10000000000000009,True,True,4.0
2026-02-21,37,3.0,JOSEPH,61.19913043478262,0.0,8.73913043478261,52.46000000000001,-0.30000000000000004,True,True,79.0
2026-02-07,27,0.0,JOSEPH,14.57260869565217,0.0,1.0434782608695652,13.529130434782607,-0.19999999999999996,True,True,12.0
2026-02-14,27,1.0,JOSEPH,32.73173913043478,0.0,16.73913043478261,15.992608695652176,-0.6000000000000001,False,True,63.0
2026-02-21,27,2.0,JOSEPH,45.996956521739136,0.0,27.82608695652174,18.17086956521739,-0.7,False,True,92.0
2026-02-28,27,3.0,JOSEPH,29.64782608695652,0.0,11.565217391304348,18.082608695652173,-0.5,True,True,62.0
2026-02-07,36,0.0,JOSEPH,24.87869565217391,0.5652173913043478,0.0,24.313478260869562,0.09999999999999998,True,True,13.0
2026-02-14,36,1.0,JOSEPH,36.42739130434782,0.0,2.608695652173913,33.81869565217391,-0.19999999999999996,True,True,28.0
2026-02-21,36,2.0,JOSEPH,70.35260869565218,0.0,31.52173913043478,38.830869565217384,-0.5,True,True,145.0
2026-02-28,36,3.0,JOSEPH,77.21913043478261,0.0,33.73913043478261,43.48,-0.5,True,True,144.0
